,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
331,0.62,0.93,1.0,-3.685,1.0,0.0374,0.00043,0.0,0.0686,0.609,106.22,190173.0,4.0,0
332,0.7,0.758,10.0,-3.012,0.0,0.342,0.0444,1.3e-05,0.0401,0.889,78.693,249467.0,4.0,2
333,0.655,0.488,1.0,-9.17,1.0,0.22,0.0825,1.16e-06,0.221,0.791,91.025,244827.0,4.0,1
334,0.583,0.66,11.0,-5.078,1.0,0.0377,0.181,0.0,0.0979,0.861,151.956,255560.0,4.0,0
335,0.866,0.749,2.0,-3.977,1.0,0.253,0.15,0.0,0.0614,0.891,92.074,250747.0,4.0,1
336,0.692,0.496,7.0,-7.332,1.0,0.0241,0.172,6.42e-06,0.107,0.376,97.945,298960.0,4.0,3
337,0.894,0.404,9.0,-5.913,0.0,0.13,0.453,1.57e-06,0.0801,0.759,102.009,236507.0,4.0,2
338,0.546,0.538,7.0,-7.886,0.0,0.0523,0.233,0.0,0.118,0.58,182.12,295773.0,4.0,2
339,0.435,0.92,4.0,-1.357,0.0,0.201,0.235,0.000353,0.552,0.45,188.899,245960.0,4.0,2
340,0.793,0.698,11.0,-3.626,1.0,0.104,0.163,0.145,0.0745,0.339,130.017,285571.0,4.0,0
341,0.907,0.695,11.0,-6.268,0.0,0.135,0.246,0.0,0.0808,0.961,101.007,298307.0,4.0,2
342,0.757,0.78,1.0,-5.038,1.0,0.319,0.0811,0.0,0.113,0.589,97.917,232507.0,4.0,1
343,0.496,0.819,5.0,-5.656,0.0,0.0444,0.0479,0.000215,0.177,0.317,100.215,202013.0,4.0,2
344,0.764,0.648,1.0,-6.639,1.0,0.206,0.0563,0.0,0.414,0.391,90.1,278720.0,4.0,1
345,0.758,0.957,7.0,-2.281,1.0,0.0357,0.039,0.0,0.133,0.966,111.121,267933.0,4.0,0
346,0.59,0.929,2.0,-3.236,1.0,0.0478,0.0714,0.000153,0.0598,0.674,119.818,254467.0,4.0,0
347,0.618,0.552,8.0,-6.863,1.0,0.0981,0.176,0.0,0.252,0.586,81.975,242773.0,4.0,0
348,0.811,0.657,6.0,-6.197,1.0,0.362,0.0391,0.712,0.0798,0.777,199.958,184907.0,4.0,4
349,0.777,0.852,11.0,-6.625,1.0,0.0362,0.303,0.657,0.136,0.907,98.073,245560.0,4.0,4
350,0.678,0.866,1.0,-4.341,1.0,0.048,0.00295,0.0,0.16,0.842,88.041,225573.0,4.0,0
351,0.646,0.6,9.0,-6.569,1.0,0.458,0.231,0.0,0.0794,0.811,192.082,223973.0,4.0,1
352,0.883,0.887,1.0,-4.92,1.0,0.116,0.0111,0.63,0.0367,0.648,124.814,212413.0,4.0,4
353,0.627,0.802,0.0,-8.432,1.0,0.0348,0.197,0.784,0.404,0.867,126.283,232400.0,4.0,4
354,0.755,0.895,9.0,-2.619,1.0,0.0883,0.0507,0.0737,0.222,0.844,118.871,181907.0,4.0,0
355,0.747,0.398,5.0,-12.932,0.0,0.0743,0.211,1.42e-06,0.113,0.428,117.901,268373.0,1.0,4
356,0.859,0.658,8.0,-4.481,1.0,0.192,0.0326,0.00181,0.0651,0.538,98.989,255267.0,4.0,1
357,0.678,0.338,10.0,-9.899,1.0,0.0319,0.655,0.0,0.215,0.502,109.888,245227.0,4.0,4
358,0.405,0.589,6.0,-7.51,0.0,0.0586,0.252,0.0,0.661,0.808,83.373,287227.0,4.0,2
359,0.622,0.492,3.0,-8.305,0.0,0.0665,0.335,0.0,0.222,0.425,63.06,265813.0,4.0,4
360,0.564,0.6,7.0,-6.814,0.0,0.0305,0.183,2.19e-06,0.38,0.442,78.955,210067.0,4.0,2
361,0.734,0.668,0.0,-3.935,0.0,0.0349,0.0526,0.0,0.0925,0.651,99.971,238840.0,4.0,2
362,0.849,0.499,2.0,-7.872,1.0,0.271,0.117,4.97e-05,0.268,0.504,92.982,359973.0,4.0,1
363,0.559,0.736,9.0,-6.133,1.0,0.0853,0.395,0.0,0.332,0.686,162.041,230833.0,4.0,1
364,0.777,0.764,1.0,-5.681,1.0,0.141,0.243,0.0,0.103,0.174,177.868,270867.0,4.0,1
365,0.788,0.728,5.0,-5.123,0.0,0.0295,0.00325,0.23,0.0979,0.936,105.983,200173.0,4.0,2
366,0.81,0.791,7.0,-5.909,1.0,0.181,0.0893,0.0,0.0838,0.948,153.067,314400.0,4.0,0
367,0.561,0.826,2.0,-5.842,1.0,0.0972,0.00289,0.0,0.432,0.499,141.98,206507.0,4.0,1
368,0.418,0.488,10.0,-6.606,1.0,0.0274,0.87,0.0,0.719,0.341,104.658,229787.0,4.0,4
369,0.707,0.538,0.0,-5.264,1.0,0.505,0.362,0.0,0.317,0.439,121.732,234893.0,4.0,1
370,0.772,0.724,6.0,-5.799,0.0,0.307,0.0149,0.0,0.355,0.518,84.038,298600.0,4.0,2
371,0.649,0.536,5.0,-8.804,0.0,0.132,0.492,0.0,0.184,0.513,78.935,245773.0,4.0,4
372,0.655,0.623,11.0,-6.302,0.0,0.116,0.0861,0.000346,0.0652,0.615,175.973,214787.0,4.0,2
373,0.542,0.793,8.0,-8.203,1.0,0.053,0.0423,3.95e-06,0.0814,0.708,173.931,256520.0,4.0,1
374,0.714,0.862,6.0,-5.531,1.0,0.286,0.0305,0.0,0.0884,0.887,92.849,281240.0,4.0,1
375,0.627,0.675,7.0,-8.299,1.0,0.284,0.265,0.0,0.309,0.662,87.93,237347.0,4.0,1
376,0.66,0.698,11.0,-4.722,0.0,0.0302,1.92e-05,0.166,0.0517,0.511,123.005,214600.0,4.0,2
377,0.568,0.867,11.0,-5.861,1.0,0.0365,0.00344,4.67e-05,0.328,0.88,163.944,221427.0,4.0,1
378,0.707,0.655,1.0,-5.704,1.0,0.103,0.264,0.0,0.126,0.415,83.087,254373.0,4.0,3
379,0.715,0.733,1.0,-7.068,1.0,0.262,0.134,0.0,0.157,0.897,87.665,295173.0,4.0,1
380,0.834,0.685,1.0,-5.862,0.0,0.225,0.0998,0.0,0.0514,0.877,95.507,278573.0,4.0,2
381,0.386,0.136,6.0,-9.267,1.0,0.0458,0.932,0.0,0.0653,0.0976,67.016,225853.0,3.0,4
